descs,class
dewan perwakilan rakyat mengesahkan revisi undang undang tentang informasi dan transaksi elektronik ruu ite menjadi undang undang dalam sidang paripurna hari ini kamis 26 oktober 2016 wakil ketua komisi informasi dpr tubagus hasanuddin mengatakan undang undang ini menyesuaikan perkembangan teknologi dan informasi serta mengakomodasi putusan mahkamah konstitusi di antaranya tindak pidana pencemaran nama baik menjadi delik aduan ucapnya di kompleks parlemen senayan jakarta kamis 27 oktober 2016 politikus partai demokrasi indonesia perjuangan ini berujar pemerintah dan dpr telah bersepakat mengubah sanksi pelaku pencemaran nama baik dalam undang undang ite dalam beleid sebelumnya ujar dia pelaku diancam hukuman pidana penjara 6 tahun dan denda rp 1 miliar sedangkan yang baru hukumannya penjara 4 tahun dan denda rp 750 juta sehingga pelaku tidak serta merta dapat ditahan oleh penyidik tuturnya pemerintah dan dpr kata hasanuddin juga telah menyetujui beberapa substansi baru salah satunya menambah kewajiban pemerintah mencegah penyebarluasan informasi yang memiliki muatan yang dilarang sehingga pemerintah berwenang memutus akses informasi yang melanggar hukum ucapnya wakil ketua dpr agus hermanto selaku pimpinan sidang pun meminta persetujuan para peserta terkait dengan ruu ite apakah bisa disetujui menjadi undang undang ujarnya setuju jawab peserta sidang,positive
di era yang semakin modern dan dengan berkembangnya teknologi gawai telah menjadi kebutuhan sehari hari bahkan rasanya hampir seluruh masyarakat tak bisa lepas dari meski memiliki banyak manfaat positif menurut penulis debra yatim gawai tidak berfungsi sebagai alat tulis untuk metode mengapa demikian ia mengatakan bahwa ponsel bergerak sangat cepat seiring dengan otak manusia kecepatan ini justru merugikan katanya dalam acara tempo media week di jakarta pada sabtu 7 desember 2019 kerugian pertama yang dirasakan adalah tidak bisa mendeskripsikan kejadian secara utuh misalnya akan bercerita tentang kemarahan akibat hujan tentu anda akan mengikuti otak dan gawai yang cepat dengan hanya mengatakan bahwa hujan terjadi padahal menulis sebagai terapi itu harus mampu mengerem pikiran yang terlalu cepat anda harus benar benar merasakan sampai ke dalam ungkapnya hal tak menguntungkan lain adalah penuangan perasaan dan sensasi menulis secara konvensional yang tidak dialami menurut debra menulis hanya akan dirasakan dengan baik dengan pulpen dan kertas bukan gawai kalau dari gawai dan mengetik eksplorasi interiornya tidak sepekat dengan menggunakan pulpen dan kertas jelasnya tak heran debra pun menyarankan buat yang ingin mendapatkan manfaat dari mencurahkan isi hati lewat menulis untuk menggunakan pulpen dan kertas memang terdengar bias dengan generasi lampau tapi yang paling efektif untuk sebagai terapi adalah lewat cara konvensional tuturnya,positive
di kabupaten batal dimakamkan pasalnya warga di sekitar lokasi pemakaman menolak jenazah korban tersebut dimakamkan setelah mengetahui riwayat kematiannya tak hanya menolak ambulans yang membawa jenazah korban tersebut juga diketahui diusir secara paksa oleh warga setempat mendapat perlakuan itu pihak keluarga korban hanya bisa pasrah dan bingung akan dimakamkan di mana jenazah keluarganya tersebut warga menolak pemakaman bahkan mengusir kami lantas akan dimakamkan di mana keluarga kami kata jr keluarga korban melalui pesan singkat kepada minggu 29 3 2020 saat ini jenazah korban telah dikembalikan ke rs wahidin sudirohuso makassar dan menunggu hasil koordinasi pihak pemerintah setempat sementara itu kasubag humas polres gowa akp mangatas tambunan saat dikonfirmasi membenarkan kejadian itu,neutral
di masa kini banyak pria yang menyadari masalah penampilan dan mulai merawat kulit kasarnya kulit karena kurang perawatan juga mulai dihindari mencukur menjadi salah satu faktor penyebab kasarnya kulit pria namun jika perawatan dilakukan dengan rutin maka masalah kulit kasar ini bisa juga diatasi oleh laki laki sama halnya dengan untuk perempuan maka proses perawatan kulit wajah untuk pria pun memiliki beberapa cara yang ideal seperti berikut ini membersihkan kulit itu penting tidak menghilangkan sel kulit mati bisa menyebabkan pori pori kulit tersumbat ini tidak hanya menyebabkan berbagai masalah perawatan kulit tetapi juga membuat pencukuran menjadi proses yang lebih agresif jadi anda perlu membersihkan wajah dua kali sehari sekali di pagi hari dan sekali sebelum tidur gunakan pembersih lembut yang bebas sabun mencukur adalah rutinitas sehari hari bagi banyak para pria pastikan kulit sudah siap anda harus memperhatikannya karena mencukur adalah proses yang keras bagi kulit untuk mempersiapkan kulit percikkan air hangat ke wajah untuk membuka pori pori kulit dan kemudian mengoleskan krim cukur untuk membuat prosesnya lancar kulit yang terhidrasi adalah yang sehat jika ingin lembut dan halus anda harus tetap melembabkannya untuk memastikannya pakai pelembab secara rutin setiap hari saat mandi kulit lembap dan terhidrasi dan pori pori kulit terbuka itu akan membuat proses mencukur menjadi lebih mudah dan lebih lembut jadi mengapa tidak memanfaatkan kesempatan itu untuk menghemat waktu dan tenaga dan memastikan kulit tetap mulus jika melakukannya dengan cara yang salah kulit akan menderita kesalahan paling umum yang dibuat adalah mencukur rambut dengan arah yang salah anda harus mengikuti arah pertumbuhan rambut bukan melawannya yang akan mengiritasi kulit dan menyebabkan rambut tumbuh ke dalam sehingga menyebabkan peradangan dan kemerahan di kulit bersikap lembut pada kulit itu penting apakah anda mencukur mengelupas atau hanya menggunakan produk perawatan kulit luangkan waktu dan lakukan dengan lembut jika melakukannya dengan kasar maka hasilnya akan buruk paparan sinar matahari yang berlebihan dapat merusak kulit dengan cara yang tidak terpikirkan ini dapat membuat kulit kasar berpigmen berjerawat dan berbagai masalah kulit lain diperlukan perlindungan terhadap kulit dari sinar matahari yang berbahaya selalu pakai tabir surya saat pergi jika tahu akan keluar di bawah sinar matahari untuk waktu yang lebih lama tutupi kulit untuk melindunginya topi atau jaket tipis dapat membantu,positive
di media sosial beredar foto yang disebut merupakan figur calon prajurit taruna akademi tni tengah membawa bendera hitam bertuliskan kalimat tauhid menyatakan bendera tersebut identik dengan organisasi yang sudah dilarang di indonesia hizbut tahrir indonesia hti pesantren tempat enzo menimba ilmu yakin santrinya itu tak terkait dengan ormas terlarang guru sekaligus kepala sekolah pondok pesantren al bayan deden ramdhani mengatakan jika memang sosok pria dalam foto yang membawa bendera hitam adalah enzo santrinya itu tidak mengindikasi masuk ke ormas terlarang hti kalau saya berpendapat itu bendera panji rasulullah katanya saat dihubungi dari serang banten rabu 7 8 2019 pihak pesantren bisa menjamin muridnya itu seorang yang pancasilais enzo menunjukkan kecintaan terhadap nkri dengan banyak ikut kegiatan yang berkaitan dengan kenegaraan enzo kata deden pernah mewakili berbagai ajang seperti olimpiade tingkat siswa atletik maraton dan bahkan upacara bendera merah putih sangat pancasilais saya berani menjamin ujarnya pesantren al bayan sendiri selama ini bercorak dan menerapkan kecintaan kepada nkri pelajaran yang dilakukan di pesantren juga terintegrasi dengan pelajaran yang bercorak kecintaan kepada tanah air santrinya tersebut bisa dipastikan sangat mencintai nkri saya bersama beliau enzo 3 tahun di sini enzo benar benar sangat cinta nkri tegasnya sebelumnya diberitakan bahwa enzo ingin menjadi prajurit tni yang saleh saat mondok di pesantren di serang hal ini diungkapkannya kepada kepala sekolah saat di masjid memasuki umur ke 17 enzo juga pernah mengungkap soal keinginannya membela nkri saat itu ia bimbang memilih kewarganegaraan antara indonesia dan prancis namun muridnya itu bulat tekad ingin menjadi warga negara indonesia dan membela nkri dia yakin menjawab ingin membela nkri ingin di indonesia kata deden,neutral
di perumahan batan indah tangsel bertambah menjadi 25 orang sebelumnya total terdapat 23 orang yang diperiksa sebagai saksi terkait hal tersebut jadi kemarin 17 saksi sudah kita periksa kemudian kita memeriksa lagi delapan saksi kata kepala biro penerangan masyarakat karopenmas divisi humas polri brigjen pol argo yuwono di pusat latihan brimob cikeas bogor kamis 12 3 2020 namun argo tidak merinci siapa saja saksi yang telah diperiksa berdasarkan catatan kompas com sejumlah saksi ada yang berasal dari pt industri nuklir indonesia inuki menurutnya polisi masih melakukan pendalaman terhadap rangkaian peristiwa tersebut kita harus mengetahui peristiwanya mulai dari awal bisa mendapatkan radioaktif dan misalnya itu sudah tidak digunakan itu sedang kita mintai keterangan semua yang ada kaitannya dengan kasus tersebut kata argo setelah itu polisi akan melakukan gelar perkara bila bukti telah dirasa cukup diberitakan pegawai badan pengawas tenaga nuklir bapeten melaporkan sm ke badan reserse kriminal bareskrim polri dengan dugaan memanfaatkan tenaga nuklir tanpa izin pada jumat 28 2 2020 polisi sebelumnya telah menggeledah dan menyegel rumah sm di perumahan batan indah tangerang selatan,neutral
di sebuah smp di purworejo jawa tengah yang merisak kawannya menjadi tersangka video tiga pelaku sudah ditetapkan sebagai tersangka hari ini kata kepala bidang humas polda jawa tengah komisaris besar iskandar f sutisna saat dikonfirmasi di semarang kamis 13 februari 2020 iskandar menyebut para pelaku dijerat dengan pasal 170 kuhp tentang pengeroyokan namun ketiga pelaku tak ditahan karena masih di bawah umur peristiwa perundungan tersebut terungkap setelah video penganiayaan terhadap seorang siswi smp di kecamatan butuh kabupaten purworejo tersebut beredar di media sosial dalam video tersebut tiga siswa laki laki memukul dan menendang seorang siswi yang diduga terjadi di dalam ruang kelas dari keterangan pelaku ini dilatarbelakangi rasa sakit hati karena tiga pelajar ini dilaporkan oleh korban kepada guru korban mengadu kepada gurunya karena sempat dipalak oleh para pelaku,negative
di situasi pandemi ini beredar kabar bak virus pula info viral via whatsapp itu mengatakan ada dan spa di jakarta yang diisolasi gara gara covid 19 kabar viral itu memuat cerita seorang terapis panti pijat tertular dari pengunjung lokasi panti pijat itu kemudian diisolasi pengunjung dan staf yang masih ada di dalam tidak boleh meninggalkan spa selama 2 minggu ke depan demikian bunyi kabar viral tak jelas itu mengatasnamakan set humas pemprop dki jakarta bukan pemprov dki jakarta kabar itu menyarankan agar yang pernah mengunjungi panti pijat tersebut agar melapor ke rumah sakit rujukan covid 19 di info viral itu ada nomor ponsel yang tercantum namun nomor itu tidak bisa dihubungi usut punya usut ini adalah kabar bohong belaka jangan percaya dengan kabar ini ini adalah kabar hoax kata kepala dinas pariwisata dan ekonomi kreatif dki jakarta cucu ahmad kurnia kepada wartawan minggu 15 3 2020 dia mencantumkan gambar pesan viral itu dilengkapi stempel hoax berwarna merah dia mengimbau masarakat agar lebih bijak memahami informasi arahannya untuk lebih cermat dan berhati hati terhadap informasi yang beredar di sosial media sebaiknya cek dulu kebenarannya kata cucu,neutral
di sulawesi utara kembali meletus ahad pagi 16 desember 2018 tinggi kolom abu letusannya terus naik dari 7 000 meter menjadi 7 500 meter lebih dari puncak gunung jika terjadi hujan abu masyarakat diminta memakai masker penutup hidung dan mulut untuk mengantisipasi gangguan saluran pernafasan koordinator bidang vulkanologi pusat penelitian mitigasi bencana institut teknologi bandung mirzam abdurrachman mengatakan abu vulkanik merupakan material yang berbahaya bagi kesehatan perlu banyak cara untuk mewaspadai terpaan abu vulkanik jika terjadi hujan abu abu vulkanik merupakan partikel berukuran halus yang diameternya kurang dari 2 milimeter hasil lontaran dari letusan gunung api ujarnya ahad 16 desember 2018 di sisi lain endapan abu vulkanik ini nantinya akan memberikan kesuburan di sekitar gunung sehingga daerahnya sering jadi hunian dengan kepadatan tinggi saat letusan terjadi kata mirzam abu vulkanik naik membentuk kolom erupsi dan terus bergerak naik hingga mencapai level of neutral buoyancy adapun material dengan ukuran lebih besar dari 2 milimeter umumnya gagal terlontar ke atas dan menghasilkan lontaran balistik bom vulkanik abu vulkanik yang turun memiliki kandungan asam tinggi yang dapat menyebabkan iritasi paru paru dan mata kata mirzam asam yang terkandung pada abu dengan mudah tercuci oleh air hujan akibatnya juga bisa mencemari persediaan air dan mengganggu tanaman setelah hujan abu ringan biasanya kondisi masih aman untuk mengkonsumsi air atau makanan yang terkontaminasi abu vulkanis namun disarankan untuk mengkonsumsi makanan yang sudah dicuci atau tertutup kemasan warga perlu menyediakan cadangan terutama air minum setidaknya untuk satu minggu kata mirzam tindakan lain yaitu menutup semua jendela dan pintu untuk mengurangi abu vulkanis yang masuk kesiapan lain yaitu kacamata pelindung untuk mengurangi iritasi mata dan segera memakai masker yang telah dibasahi agar proses pernyaringan abu vulkanik bekerja maksimal semakin dalam kita menarik nafas semakin dalam pula abu vulkanik masuk ke paru paru ujarnya ketika ingin membersihkan abu vulkanik di dalam atau di luar rumah disarankan sambil diberi air sedikit membersihkan abu dalam keadaan kering kata mirzam memberikan kesempatan untuk terbang kembali khusus kepada anak anak diminta untuk tetap berada di dalam ruangan mereka perlu dinasehati kata mirzam agar tidak bermain dan lari lari untuk menghindari abu vulkanik terbang dan masuk ke pernafasan menurut informasi dari pusat vulkanologi mitigasi bencana geologi pvmbg kolom abu berwarna kelabu dan intensitas tebal condong ke tenggara simak kabar terbaru seputar erupsi hanya di kanal,neutral
di tangerang bandara sultan mahmud badaruddin ii di palembang dan bandara husein sastranegara di bandung untuk dilengkapi dengan berbagai keperluan dalam rangka menyambut 2018 ketiga bandara tersebut difokuskan pembenahannya oleh ap ii karena menjadi gerbang masuk para peserta serta dekat dengan lokasi venue sejumlah cabang olahraga yang akan dipertandingkan untuk persiapan asian games kami punya konsep yang diberi nama actif yaitu airport capacity communication traffic routes infrastructure dan facility kata direktur utama ap ii muhammad awaluddin melalui keterangan tertulis kamis 5 7 2018 awaluddin menjelaskan airport capacity maksudnya menambah kapasitas di area bandara agar dapat menunjang mobilitas para peserta dan pihak terkait lainnya selama perhelatan asian games sementara untuk diwujudkan dengan sosialisasi serta branding informasi dan hal seputar asian games di wilayah bandara dalam hal pengelola bandara bekerja sama dengan maskapai serta biro travel dan pariwisata untuk promosi daerah daerah pariwisata di indonesia sedangkan mengenai infrastructure ap ii menambah sarana dan prasarana untuk peningkatan pelayanan penumpang kemudian facility berarti menyiapkan fasilitas berbasis digital untuk melayani penumpang selama berada di bandara tutur awaluddin selain di tiga bandara tersebut ap ii juga ikut memeriahkan gelaran asian games di bandara banyuwangi dengan mengadakan fun walk fun walk ini mengikutsertakan ribuan masyarakat di wilayah jawa timur sekaligus sebagai salah satu kabupaten yang akan disinggahi torch relay bermula dari provinsi aceh hingga papua,positive
di tengah kekhawatiran soal wabah corona ribuan orang menghadiri acara di kabupaten sulawesi selatan sulsel polda sulsel menegaskan tidak memberi izin untuk pelaksanaan kegiatan itu kami tidak mengeluarkan izin tapi kelihatannya mereka memaksakan untuk melanjutkan kegiatannya kata kapolda sulsel irjen mas guntur laupe kepada selasa 18 3 2020 meski demikian guntur mengatakan tak akan membubarkan kegiatan itu dengan alasan bahwa efeknya akan sangat besar di masyarakat bisa saja kami larang dan dorong untuk bubar tapi lebih besar mudaratnya daripada baiknya kenapa dia jemaah nanti pulang keluar dari sana dia akan ke seluruh masjid di makassar dan akan dijadikan tempat singgah mereka karena dianggap rumah allah pasti begitu terangnya makanya kemungkinan dilaksanakan toh apa boleh buat kita tetap mengamankan dia dan mengawasi dia walaupun tidak diberi izin imbuhnya meski acara tidak akan dibubarkan guntur meminta ada perlakuan khusus bagi wna yang hadir dalam acara itu para wna diminta ditempatkan di tempat khusus dan tidak bercampur dengan wni itu terpisah dan semua dicek satu satu untuk sementara tidak ada apa apa semua sehat tapi kita kan tidak tahu apakah ke depan tapi yang jelas sop sudah kita lakukan bersama pemerintah setempat ungkapnya kepada masyarakat sekitar lokasi acara guntur meminta tidak ikut dalam kegiatan tersebut kita imbau tidak ikuti kegiatan dimaksud ungkapnya sebelumnya peserta ijtima dunia ini sudah berdatangan ke gowa mereka berasal dari dari dalam dan luar negeri sudah berdatangan dengan jumlah ribuan orang ada warga negara asing dari beberapa negara kata guntur guntur mengatakan warga negara asing itu adalah bagian dari jemaah tablig yang masuk ke indonesia jauh sebelum wabah corona menyebar mereka sudah ada dan datang di indonesia sebelum isu corona ujarnya kan jemaah tablig tinggal di masjid di sulsel sambil menunggu tanggal besok ini imbuhnya pemerintah kabupaten gowa juga sudah meminta ijtima dunia 2020 zona asia ini ditunda hal ini sehubungan tindak pencegahan pandemi virus corona covid 19 berdasarkan arahan pak bupati dengan dikeluarkannya surat edaran maka semua kegiatan di kabupaten gowa untuk ditunda termasuk ijtima asia ini ujar sekretaris daerah sekda gowa muchlis lewat rilis yang diterima senin 16 3 2020 ijtima ulama dunia 2020 zona asia sedianya bakal digelar di kompleks darul ulum desa pakatto kecamatan bontomarannu gowa sulawesi selatan sulsel 19 maret mendatang yang disebut sebut melibatkan peserta dari 48 negara surat edaran yang dimaksud muchlis tadi ditujukan ke panitia sebagai rekomendasi sekaligus langkah pencegahan bersama,neutral
di tengah ketidakjelasan kapan kompetisi dilanjutkan sejumlah pemain sepak bola menghabiskan waktu jeda akibat wabah dengan berbagai kegiatan mulai sekedar main game sampai menyelesaikan kuliah gelandang juventus sami khedira memilih mengisi waktu liburnya dengan belajar bermain piano sedangkan klub klub la liga beralih bermain sepak bola di playstation dan pemain atalanta robin gosens justru disibukkan dengan persiapan ujian psikologi pemain tottenham hotspur son heung min yang masih memulihkan diri dari cedera lengan bahkan memutuskan untuk pulang kampung akibat liga inggris masih ditangguhkan begitu pun dilakukan oleh rekannya steven bergwijn yang sudah tiba di belanda menyambut kelahiran anaknya di jerman bayern muenchen berinisiatif mengadakan sesi latihan secara virtual demi menjaga kebugaran para pemain di prancis lyon meminta para pemainnya untuk beristirahat hingga 24 maret sementara di spanyol atletico madrid telah melakukan pertemuan melalui video bersama dengan pelatih untuk memperdalam pesan pesan utama menghadapi pandemi covid 19 bagi kiper ac milan asmir begovic meskipun dirinya bisa berkumpul bersama keluarga kondisi ini dinilai membosankan bagi mereka yang menganggap sepak bola adalah cara bertahan hidup kondisi ini jelas membosankan sangat aneh tidak bisa berlatih kata begovic seperti dikutip afp anda bisa saja melakukan hal hal lain tapi hanya ada serial dan film film di netflix yang bisa ditonton katanya megabintang barcelona lionel menghabiskan waktunya di rumah bersama anak anaknya ia juga mengajak agar semua orang tetap tinggal di rumah untuk mencegah penyebaran covid 19 semakin meluas kesehatan adalah yang utama sekarang adalah momen paling penting dan kalian harus mengikuti instruksi otoritas kesehatan hanya dengan cara ini kita bisa memeranginya secara efektif kata messi dalam unggahannya di instagram sekarang saatnya untuk bertanggung jawab dan diam di rumah ini juga kesempatan sempurna untuk menikmati waktu bersama orang orang terdekat anda pemain juventus cristiano ronaldo juga memilih pulang ke kampung halamannya di madeira dan menghabiskan waktu bersama keluarga kiper real madrid thibaut courtois memilih untuk menyibukkan diri dengan menonton netflix sangat membosankan saya mungkin melakukan hal yang sama dengan kebanyakan orang menonton netflix menonton televisi membaca hal hal aneh apapun untuk menghabiskan waktu katanya saya menikmati film film lama saya nonton ulang the office untuk ke 100 kalinya entourage malam tadi saya juga nonton castaway bersama istri beberapa film dan masih banyak lagi ujar courtois lagi,positive
di tengah kondisi cuaca yang tidak menentu kita seringkali mendapatkan nasihat untuk menjaga pola makan teratur namun sudahkah kita memerhatikan secara baik dan benar jenis makanan yang kita konsumsi selain memerhatikan makronutrien seperti karbohidrat protein dan lemak kita juga perlu memerhatikan mikronutrien termasuk dan meski hanya dibutuhkan dalam jumlah yang lebih sedikit namun juga bisa memberi dampak buruk bagi kesehatan tidak kelihatan secara langsung tapi biasanya baru kelihatan saat sakit beberapa di antaranya seperti semangat menurun gangguan konsentrasi pegal pegal kesemutan kram hal itu diungkapkan oleh medical manager consumer health pt kalbe farma tbk dr helmin agustina silalahi di kawasan kemang jakarta selatan senin 9 3 2020 kondisi kesehatan yang menurun bisa diatasi dengan beberapa hal mulai dari tidur cukup makan bergizi olahraga teratur relaksasi meditasi atau yoga mencari faktor stres hingga mengonsumsi suplemen jika kesulitan memenuhi gizi yang dibutuhkan tubuh misalnya kesulitan memenuhi kebutuhan sayur dan buah harian apalagi dalam kondisi seperti saat ini salah satu kunci yang bisa kita lakukan adalah pencegahan jadi harus meningkatkan agar tidak sakit ungkapnya helmin menambahkan ada tiga faktor yang harus dipenuhi untuk mencegah tubuh terserang penyakit tiga faktor tersebut adalah daya tahan tubuh virus dan lingkungan faktor lingkungan misalnya musim hujan dan udara lembab yang membuat virus bisa bertahan lebih lama ketiga hal ini menurutnya harus saling melengkapi ketiganya harus berjalan bersama sama kalau daya tahan tubuh bagus kuat kita tidak akan mudah sakit ucapnya,positive
di tengah lesunya kondisi para perantau di kota kota besar mulai kembali ke kampung halaman masing masing mata pencarian mereka di kota mulai seret agenda mudik lebaran pun juga terancam batal ketimbang menunggu lama di kota tanpa kepastian kapan corona bakal berakhir mereka memutuskan pulang kampung lebih awal tak ada yang tahu apakah para pemudik itu pulang kampung dalam kondisi sehat atau sakit terlebih para perantau dari zona merah atau daerah yang sudah ada kasus infeksi corona mereka berpotensi menjadi perantara penyebaran virus corona untuk mengantisipasi pemudik yang datang pemerintah kabupaten gunungkidul yogyakarta menyiapkan skema pembuatan posko posko pemantau kesehatan di setiap akses masuk ke wilayah tersebut melalui posko posko itu pemerintah kabupaten berharap dapat lebih maksimal memantau kondisi kesehatan para pemudik yang masuk ke wilayahnya kami sedang menyiapkan posko itu dan harapannya nanti di setiap pintu masuk kabupaten ada satu tim gabungan yang memantau ujar kepala dinas kesehatan gunungkidul dewi irawaty kamis 26 maret 2020 mereka yang ditempatkan di posko tersebut bukan hanya petugas kesehatan melainkan juga tim dari dinas perhubungan dan kepolisian di dalam posko itu petugas dinas kesehatan memeriksa kondisi kesehatan terutama suhu tubuh pemudik adapun petugas dinas perhubungan dapat melakukan screening kendaraan yang masuk kepada gubernur di yogyakarta sri sultan hamengkubuwono x bupati gunungkidul badingah melaporkan sudah ribuan pemudik yang terlanjur masuk ke wilayahnya data pendatang itu jumlahnya 1 188 orang ujar badingah pemudik itu paling banyak masuk ke kecamatan playen kecamatan nglipar dan kecamatan semanu pada rabu 25 maret 2020 seorang pemudik gunungkidul dari jakarta diketahui positif terinfeksi virus corona orang itu kini diisolasi di rsud wonosari juru bicara kepolisian di yogyakarta komisaris besar yuliyanto menyampaikan langkah kepolisian daerah ihwal banyaknya pemudik di yogyakarta belakangan ini kami bersama gugus tugas penanganan covid 19 pemerintah daerah serta unsur tni akan melakukan pendataan kepada pemudik ujarnya kamis 26 maret 2020 pemudik yang sudah sampai di kampung halaman diimbau agar mengkarantina diri atau tidak keluar rumah dan tidak menerima tamu selama 14 hari warga yogyakarta yang menerima pemudik wajib melapor ke perangkat wilayah setempat ujarnya,neutral
diduga akibat hilang kendali sebuah ke dalam kolam bundaran hotel indonesia jakarta pusat pada rabu dinihari 18 maret 2020 kepala sub direktorat pembinaan dan penegakan hukum direktorat lalu lintas polda metro jaya ajun komisaris besar fahri siregar mengatakan itu terjadi sekitar pukul 02 30 pengemudi mobil berinisial ra tengah melaju dari arah selatan ke utara di jalan m h thamrin jakarta pusat sesampainya di area bundaran hi pengemudi mobil honda hr v warna putih itu diduga kehilangan konsentrasi lantaran mengantuk mobil yang tengah melaju ke arah bundaran hi itu tercebur ke dalam kolam akibat kejadian tersebut tidak ada korban luka maupun koran jiwa tutur fahri dalam keterangan tertulisnya rabu 18 maret 2020 sebelumnya kabar kecelakaan mobil nyemplung tersebut pertama kali disampaikan oleh akun twitter resmi traffic management center polda metro jaya tmcpoldametro dalam cuitan tersebut disertakan beberapa foto di lokasi kejadian nampak mobil ringsek di bagian bemper depan dan kap mobilnya,neutral
dilaporkan terkena larangan bepergian buntut wabah yang merenggut nyawa 26 orang pada kamis seorang pasien yang terinfeksi di provinsi hebei menjadikannya sebagai korban pertama di luar hubei kemudian dilansir jumat 24 1 2020 korban meninggal lain akibat virus corona tercatat di provinsi terpencil heilongjiang provinsi itu dilaporkan berlokasi sekitar 2 000 kilometer dari wuhan serta menjadi perbatasan antara rusia dan china selain 26 orang meninggal pemerintah negeri panda mencatat lebih dari 830 kasus warga yang terinfeksi otoritas pun melakukan berbagai langkah pencegahan antara lain dengan menerbitkan larangan bepergian untuk sembilan kota dikutip sementara memberitakan ada 10 kota yang terpaksa ditutup dengan total populasi yang terdampak mencapai 60 juta orang di wuhan kota tempat virus itu mulai merebak segala layanan transportasi mulai dari bus kereta hingga pesawat dihentikan warga sekitar diminta untuk tidak meninggalkan kota dengan laporan yang beredar menyatakan jalan menuju ke sana mulai diblokade di ezhou otoritas lokal memutuskan untuk menutup stasiun kereta sementara di enshi pemerintah menangguhkan layanan bus,neutral
dina marta aulianingrum masih ingat bagaimana ia pernah mengajar dengan cara yang sangat monoton bahasa indonesa di smk negeri 1 kedungwuni pekalongan jawa tengah ini terbiasa masuk kelas mengajar memberi tugas pada murid mengoreksi tugas siswa mengajar kembali lalu memberi tugas lama lama saya jenuh sendiri kata dina kepada tempo pada acara temu pendidik nusantara 2019 ahad 27 oktober 2019 di jakarta merasa pekerjaannya hanya sebuah rutinitas saja dina pun mencoba mencari bantuan ia bertemu tim kelompok guru belajar kgb di komunitas itu ia belajar dari para guru guru lain bahwa ada banyak sekali media yang bisa digunakan seorang guru dalam mengajar di kelas dari guru di kgb itu saya baru tahu ternyata ada media video board game karikatur kata dina yang berpikir memilih media apa yang paling pas untuk kelasnya sambil berpikir cara terbaik menyesuaikan media belajar yang dia dapat untuk murid murid kelasnya dina pun terus melakukan introspeksi diri dina bertanya kepada murid muridnya bagaimana pandangan mereka tentang cara ajar dina mereka bilang boleh jujur tidak bu sebenarnya cara ajar bu dina itu tidak enak banget kata dina mencontoh ucapan sang murid beruntung dina tidak merasa sakit hati dan bersyukur anak anak muridnya itu berani jujur setelah mempelajari lebih dalam dina akhirnya mencoba mencari tahu kesenangan para muridnya dari hobi anak anak saya tahu ada yang suka gambar ada suka nyanyi atau juga membaca buku kata dina ia pun membuat berbagai tugas yang sesuai dengan kesenangan para murid muridnya misalnya dina sedang ingin menerangkan anekdot akhirnya ia pun meminta muridnya membuat tugas yang berhubungan dengan anekdot misalnya yang suka gambar saya minta menggambar yang bertema anekdot yang suka nyanyi saya minta agar mereka bisa membuat lagu buat tentang anekdot katanya cara belajar seperti itu membuat kegiatan belajar mengajar menjadi lebih hidup dina mengatakan anak anak lebih semangat saat belajar di kelasnya salah satu buktinya adalah saat anak anak murid mengumpulkan hasil tugas mereka jauh lebih cepat dari waktu tenggat biasanya saya harus ayok ayok mana tugas kumpulkan sekarang sekarang bila deadlinenya sepekan lagi mereka malah sudah kumpulkan tugasnya pekan ini kata dina senang melihat perkembangan muridnya ia senang bisa memiliki kompetensi untuk mencari media yang paling pas untuk keberagaman latar belakang muridnya atas prestasinya itu dina pun mendapatkan beasiswa untuk mengunjungi sekolah sekolah di new zealand ia dan sejumlah guru ingin mencontoh hal baik dalam kunjungan studi banding itu persiapan kepergian ke new zealand masih dalam masa persiapan katanya,positive
dinas kesehatan banten menambah ruang isolasi di dua rumah sakit rujukan untuk antisipasi jika ada pasien terjangkit virus corona dua rumah sakit itu adalah rsud tangerang dan rs dr dradjat prawiranegara serang untuk fasilitas ditambah tadinya di rsud tangerang ada empat ruang isolasi sekarang penambahan tiga tapi belum selesai di rsdp serang ada empat ruang isolasi kata kadinkes banten ati pramudji hastui di kawasan pusat pemerintahan provinsi banten kp3b serang selasa 3 3 2020 penunjukan dua rumah sakit di banten sebagai rujukan diputuskan oleh kementerian kesehatan meski provinsi banten memiliki rsud banten rumha sakit tersebut belum bisa dijadikan rujukan jika ada pasien terjangkit corona sejauh ini di banten belum ada atau warga yang terjangkit karena virus corona namun ia menjelaskan ada 17 orang di kota tangerang yang kondisinya dipantau ini pun menurutnya hanya pemantauan karena warga tersebut pernah ke negara negara terjangkit ini dipantau bukan sakit di kota tangerang kondisinya 17 orang yang dipantau artinya belum ada kasus positif orang dari luar negeri harus dipantau sampai waktu inkubasi 14 hari agar sehat aman hanya pemantauan ujar ati,positive
