date,title,link,desc/0,desc/1,desc/2,desc/3,desc/4,desc/5,desc/6,desc/7,desc/8,desc/9,desc/10,desc/11,desc/12,desc/13,desc/14,desc/15,desc/16,desc/17,desc/18,desc/19,desc/20,desc/21,desc/22,desc/23,desc/24,desc/25,desc/26,desc/27,desc/28,desc/29,desc/30,desc/31,desc/32,desc/33,desc/34,desc/35,desc/36,desc/37,desc/38,desc/39,desc/40,desc/41,desc/42,desc/43,desc/44,desc/45,desc/46,desc/47,desc/48,desc/49,desc/50,desc/51,desc/52,desc/53,desc/54,desc/55,desc/56,desc/57,desc/58,desc/59,desc/60,desc/61,desc/62,desc/63,desc/64,desc/65,desc/66,desc/67,desc/68,desc/69,desc/70,desc/71,desc/72,desc/73,desc/74,desc/75,desc/76,desc/77,desc/78,desc/79,desc/80,desc/81,desc/82,desc/83,desc/84,desc/85,desc/86,desc/87,desc/88,desc/89,desc/90,desc/91,desc/92,desc/93,desc/94,desc/95,desc/96,desc/97,desc/98,desc/99,desc/100,desc/101,desc/102,desc/103,desc/104,desc/105,desc/106,desc/107,desc/108,desc/109,desc/110
"Senin, 27 Jan 2020 08:50 WIB","         Warga Pelihara Hewan Dilindungi, Plt Bupati Cianjur: Serahkan ke BBKSDA    ",https://news.detik.com/berita-jawa-barat/d-4874336/warga-pelihara-hewan-dilindungi-plt-bupati-cianjur-serahkan-ke-bbksda,"Plt Bupati Cianjur, Herman Suherman meminta warga Cianjur untuk tidak memburu, menangkap dan memelihara hewan dilindungi, termasuk monyet surili yang merupakan endemik Jawa Barat.","Herman mengimbau warga yang memiliki dan memelihara hewan langka tersebut agar diserahkan ke Balai Besar Konservasi Sumber Daya Alam (BBKSDA) Jawa Barat, supaya segera dikembalikan ke habitatnya.","""Kita harus turut menjaga hewan yang memang dilindungi, jangan ditangkap apalagi dipelihara. Kalau memang memiliki, silakan serahkan pada yang berwenang atau ke BBKSDA, supaya bisa dikembalikan ke alam,"" ujar Herman saat dihubungi melalui telepon seluler, Senin (27/1/2020).","Herman mengatakan, bukan hanya tidak boleh menangkap atau memelihara hewan langka seperti surili, warga Cianjur juga diimbau untuk menjaga alam supaya habitat hewan tersebut tetap terjaga.","Pasalnya dikhawatirkan keberadaan surili atau hewan dilindungi lainnya di perkampungan akibat alam mereka yang rusak, bukan hanya dari perilaharaan yang dilepas.","""Jaga alam, jangan dirusak. Kalau habitatnya rusak, keberadaan mereka juga terancam. Makanya saya sudah instruksikan ke setiap camat dan kepala desa untuk melindungi hewan langka beserta menjaga habitatnya,"" ucap Herman.","Kepala Bidang Wilayah I BBKSDA Jawa Barat, Lana Sari, mengatakan, satwa dilindungi sebaiknya berada di habitatnya di hutan. Apapun alasan untuk memilikinya, tetap dilarang undang-undang.","""Kalau memang memiliki silakan serahkan pada kami,"" kata Lana.","Terkait Surili yang sudah diamankan, dia mengatakan, pihaknya akan melakukan rehabilitasi hingga hewan tersebut siap untuk dilepaskan kembali ke habitatnya.","Seperti yang diketahui, beberapa waktu lalu warga Desa Sukaraharja Kecamatan Cibeber Kabupaten Cianjur dihebohkan dengan munculnya surili di wilayah tersebut. Bahkan warga sempat mengira hewan endemik Jawa Barat itu merupakan siluman.","Pada 24 Januari 2020, seekor surili berhasil tertangkap setelah masuk dalam perangkap yang dipasang BBKSDA. Namun masih ada dua ekor surili yang berkeliaran di Desa Sukaraharja dan masih dalam pencarian.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sabtu, 25 Jan 2020 22:25 WIB","         Miras Maut di Tasikmalaya, Korban Tewas Menjadi Tujuh Orang    ",https://news.detik.com/berita-jawa-barat/d-4873403/miras-maut-di-tasikmalaya-korban-tewas-menjadi-tujuh-orang,"Jumlah korban tewas akibat miras oplosan atau racikan di Tasikmalaya, Jawa Barat, kembali bertambah. Data terbaru dari polisi menyebutkan korban tewas menjadi tujuh orang.","Kasus miras maut ini melibatkan tiga kelompok. Usai menenggak miras oplosan, ada 21 orang yang diduga mengalami keracunan.","Korban yang belakangan diketahui meninggal gegara miras itu ialah DV (18), warga Cigadod Leuwisari. Remaja lelaki tersebut meninggal pada Rabu (23/1), namun namanya baru tercatat setelah ada pengakuan dari saksi lainnya yang turut pesta miras oplosan.","""Kami pastikan korban meninggal tujuh orang. Data yang baru masuk, inisial DV. bersangkutan awalnya tidak masuk (daftar meninggal). Namun setelah memeriksa lima saksi, nama DV disebut turut meminum minuman racikan alkohol dan minuman berenergi,"" kata Kapolres Tasikmalaya AKBP Dony Eka Putra, Sabtu (25/1/2020).","Hingga Sabtu petang tadi, tersisa dua orang yang menjalani Perawatan medis di RSUD SMC Tasikmalaya. Salah satunya kritis.",Polisi memastikan para korban itu menenggak racikan alkohol yang dicampur minuman lainnya. Mereka minum di tiga tempat berbeda serta kelompok berbeda.,"""Ini tiga kelompok. Mereka itu minum spontanitas saja dan menyebar,"" ucap Doni.",Polisi sudah menyita sejumlah barang bukti. Salah satu di antaranya botol berisi alkohol.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sabtu, 25 Jan 2020 21:06 WIB",         Pelaku Pemicu Bentrok Massa di Sukabumi Bacok Tiga Pria    ,https://news.detik.com/berita-jawa-barat/d-4873390/pelaku-pemicu-bentrok-massa-di-sukabumi-bacok-tiga-pria,Polisi menetapkan tiga orang sebagai tersangka penganiayaan yang memicu bentrok massa kelompok BPPKB dan Sapu Jagat di Sukabumi. Ketiganya diketahui sempat terlibat pengeroyokan dan penganiayaan terhadap tiga orang korban yang mengalami luka bacok.,Berdasarkan rentetan peristiwa dan pantauan ,", bentrok massa yang terjadi sejak Jumat (24/1/2020) malam hingga Sabtu (25/1/2020) pagi itu dipicu tuntutan ormas BPPKB kepada polisi untuk menangkap pelaku kekerasan yang diduga berasal dari kelompok Sapu Jagat.","Sewaktu jumpa pers, polisi tak menjelaskan tiga tersangka itu masuk kelompok ormas atau tidak. Tiga korban masing-masing inisial M (30), Y alias I (26) dan H (34). Korban M mengalami luka bacok hingga sobek di bagian wajah, korban Y luka bacok pada bagian kepala belakang dan korban H luka bacok pada lengan kanan dan kiri.","""Kondisi terkini korban dua sudah kembali ke rumah, satu masih dirawat di Rumah Sakit Hasan Sadikin Bandung,"" kata Kapolres Sukabumi Kota AKBP Wisnu Prabowo.","Keributan antara pelaku dan korban diketahui terjadi di Kampung Satong, Desa Titisan, Kecamatan Sukalarang, tepatnya di area peternakan ayam Titisan Farm. Masih berdekatan dengan pabrik sepatu PT PAI.","Tersangka inisial RT alias T (25), DF alias H (29) dan RM alias E (25). Mereka membacok tiga korban tersebut. Usai beraksi, para pelaku membuang golok yang digunakan untuk melukai korban.","""Untuk motifnya, hanya kesalahpahaman saja. Hanya dari ucapan saja, baik dari korban maupun pelaku. Untuk kemungkinan ada tersangka lain tidak ada,"" tutur Wisnu.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sabtu, 25 Jan 2020 20:13 WIB","         Disorot Raden Rangga Sunda Empire, Begini Reaksi Ridwan Kamil    ",https://news.detik.com/berita-jawa-barat/d-4873347/disorot-raden-rangga-sunda-empire-begini-reaksi-ridwan-kamil,"Petinggi Sunda Empire, ",", menyebut Ridwan Kamil tak pantas jadi gubernur Jabar karena tidak paham Sunda Empire. Ridwan Kamil pun angkat bicara.",Kang Emil sapaannya mengaku tak masalah dengan pernyataan Rangga. Hal itu hak berpendapat sebagai warga negara Indonesia.,"""Ya setiap orang mah bisa berpendapat masing-masing, nggak masalah,"" ucap Emil di Vihara Samudra Bhakti, Jalan Cibadak, Kota Bandung, Sabtu (25/1/2020).","Menurutnya, masyarakat bisa menilai kedudukan ", di Indonesia saat ini. Ia enggan berkomentar lebih jauh dan menyerahkan sepenuhnya kepada penilaian masyarakat.,"""Kita serahkan ke masyarakat argumen mana yang paling bisa diterima paling logis, paling masuk akal,"" ujar Emil.","Sebelumnya, Rangga mengingatkan Ridwan Kamil tidak bisa sembarangan mengenai Sunda Empire. Mengingat, beberapa waktu lalu, orang nomor satu di Jabar itu menyebut keberadaan Sunda Empire karena banyak orang stres.","""Saya juga sudah peringatkan dari awal Ridwan Kamil, kalau tidak paham Sunda Empire jangan jadi gubernur di Jawa Barat, karena Jabar itu pusat dari tatanan Sunda,"" ucap Rangga kepada "," saat dihubungi, Sabtu (25/1/2020).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sabtu, 25 Jan 2020 13:36 WIB","         Sungai Cibeet Diturap demi Water Park, Pemkab Karawang: Lanjut Ranah Hukum    ",https://news.detik.com/berita-jawa-barat/d-4872978/sungai-cibeet-diturap-demi-water-park-pemkab-karawang-lanjut-ranah-hukum,"Pemkab Karawang jengah dengan pemasangan dinding turap di tengah Sungai Cibeet oleh seorang oknum pengusaha di Kabupaten Bekasi. Sebab, aktivitas tersebut merubah bentuk dan mempersempit sungai. Hal itu dikhawatirkan menyebabkan banjir di Karawang.","Sekda Karawang Acep Jamhuri menuturkan tak segan membawa masalah itu ke ranah hukum. ""Hari Senin besok (27/1) semua yang terlibat dalam kegiatan tersebut dipanggil ke Balai BBWS. Kelihatannya ini harus lanjut di ranah hukum,"" kata Sekda Karawang Acep Jamhuri melalui telepon, Sabtu (25/1/2020).",Acep menuturkan telah berkoordinasi dengan Balai Besar Wilayah Sungai (BBWS) Citarum ihwal pemasangan ," atau dinding turap tersebut. ""Kita sudah komunikasi dengan BBWS. Pasti akan ditindak,"" tutur Acep.",Kabid Hukum dan Humas BBWS Citarum Budi Gunawan menyatakan telah menerjunkan tim untuk memantau ke lokasi kejadian. Ia membenarkan bakal segera memanggil pengusaha yang memasang dinding turap tersebut.,"""Kita akan panggil sejumlah pihak bertanggungjawab terhadap proyek tersebut untuk dimintai keterangan. Selain itu dalam rapat nanti, kita akan bahas soal pembongkaran pancang-pancang dan aliran sungai yang telah diurug,"" tegas Budi saat dikonfirmasi melalui telepon, Sabtu (25/1/2020).","Sebelumnya dikabarkan, seorang pengusaha memasang deretan balok beton di tengah Sungai Cibeet. Dinding turap itu membentang dari wilayah Kampung Ciranggon RT01, RW01, Desa Cipayung, Kecamatan Cikarang Timur, Kabupaten Bekasi. Tujuannya, diduga untuk membuat ",.,"Sejumlah foto menunjukkan jika anak sungai Citarum itu menyempit. Sebab di beberapa bagian, tepi sungai telah diurug tanah oleh alat berat.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sabtu, 25 Jan 2020 13:21 WIB",         Napas Lega Warga Usai Suruli 'Siluman' Masuk Kandang Jebakan    ,https://news.detik.com/berita-jawa-barat/d-4872968/napas-lega-warga-usai-suruli-siluman-masuk-kandang-jebakan,"Monyet Surili di Desa Sukaraharja, Kecamatan Cibeber, Kabupaten Cianjur, Jawa Barat, berhasil ditangkap hidup-hidup setelah seminggu petugas melakukan pencarian. Bahkan, petugas harus memasang jebakan untuk menyelamatkan monyet langka tersebut.","Pekan lalu, kemunculan sejumlah surili ke permukiman penduduk itu menghebohkan. Awalnya warga menyangka hewan tersebut siluman.",Proses pencarian Surili tersebut mulai berlangsung pada Jumat 17 Januari 2020. Sejumlah petugas dari Balai Besar Konservasi Sumber Daya Alam (BBKSDA) menurunkan tim dengan peralatan lengkap ke Desa Sukaraharja.,"Petugas juga memasang dua perangkat yang disimpan di pepohonan pada lokasi yang diduga menjadi tempat berkeliarannya surili. Upaya penangkapan dan penyelamatan surili berlangsung aman. Seekor surili tertangkap hidup-hidup dalam kandang jebakan, Jumat (24/1) siang.","""Sudah tertangkap kang, di jebakan yang dipasang di halaman rumah warga di Cisalak perbatasan Desa Sukaraharja dan Desa Cisalak,"" ujar Camat Cibeber Ali Akbar, Sabtu (25/1/2020).",         ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sabtu, 25 Jan 2020 07:36 WIB","         Kapolda Jabar Datang, Massa Bentrok Sukabumi Saling Lempar Batu Lalu Bubar    ",https://news.detik.com/berita-jawa-barat/d-4872720/kapolda-jabar-datang-massa-bentrok-sukabumi-saling-lempar-batu-lalu-bubar,"Kapolda Jabar Irjen Pol Rudy Sufahriadi mendatangi lokasi bentrok massa di Kecamatan Sukalarang - Kecamatan Sukaraja, Sukabumi, pukul 07.00 WIB, Sabtu (25/1/2020). Sempat terjadi insiden saling lempar batu antar massa saat kedatangan Rudy.","Massa yang berada di jalan utama Cianjur-Sukabumi merangsek ke massa yang berada di jalan perkampungan, hingga akhirnya terjadi aksi saling lempar. Rudy yang kebetulan baru tiba, langsung mendekat ke arah massa dan mengultimatum mereka. ","""Saya beri waktu kalian 30 menit untuk membubarkan diri, serahkan kepada kepolisian,"" kata Rudy, terlihat juga Kapolres Sukabumi Kota AKBP Wisnu Prabowo dan Kapolres Cianjur,AKBP Juang Andi.","Dari arah massa terdengar teriakan-teriakan menolak permintaan Rudy. Beberapa orang diduga perwakilan massa terlihat menjauh dari lokasi. ""Kita minta tangkap dulu pelakunya, tangkap dulu pelakunya,"" teriak massa.","Tempat lokasi massa berkumpul berada di Jalan nasional Sukabumi - Cianjur, area menuju lokasi dijaga aparat kepolisian. Otomatis jalur tersebut lumpuh tidak bisa dilintasi.","Belum sampai 30 menit, sekitar pukul 07.20 WIB, akhirnya massa yang berada di jalan utama Cianjur-Sukabumi mundur dan membubarkan diri.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 23 Jan 2020 16:28 WIB",         Kelebihan Populasi Diduga Penyebab Monyet Serbu Kampung di Kuningan    ,https://news.detik.com/berita-jawa-barat/d-4870599/kelebihan-populasi-diduga-penyebab-monyet-serbu-kampung-di-kuningan,"Kawanan monyet menyerbu perkampungan di Desa Cibeureum, Kecamatan Cilimus, Kabupaten Kuningan. Monyet-monyet tersebut diduga berasal dari hutan lindung Taman Nasional Gunung Ceremai (TNGC) yang lokasinya tidak jauh dari perkampungan tersebut.","Pihak Balai TNGC menjelaskan, serbuan kawanan monyet ekor panjang diakibatkan ledakan populasi. ""Ada indikasi semacam kelebihan populasi. Tapi, belum bisa saya pastikan. Karena membutuhkan penelitian dari akademisi,"" kata Kepala Seksi Wilayah I Kuningan TNGC, San Andre saat dihubungi detikcom, Kamis (23/1/2020).","Andre menerangkan kawasan hutan lindung habitat monyet tersebut dikepung perkampungan warga. Sehingga, lanjut dia, kawanan monyet kerap masuk ke perkampungan untuk mencari makanan.","""Kita juga upayakan untuk menambah pakan alami di hutan, caranya menanam buah-buahan seperti kondang dan lainnya. Untuk mengantisipasi agar satwa tak masuk pemukiman,"" kata Andre.","Lebih lanjut, Andre mengaku serbuan kawanan monyet itu sudah terjadi sejak lama. ""Sebelumnya juga kita pernah melakukan semacam vasektomi, tapi tetap bertambah (populasi). Jadi sekarang kita tambah pakan alami,"" kata Andre.","Seperti diberitakan sebelumnya, Balai Konservasi Sumber Daya Alam (BKSDA) melibatkan Suku Baduy untuk menangkap kawanan monyet yang menyerbu perkampungan warga Cibeureum.","""BKSDA meminta sejumlah orang dari Suku Baduy, Banten untuk menangkap monyet yang menganggu aktivitas masyarakat, yang sering merusak perkebunan juga. Nanti monyet itu akan dikarantina,"" kata Kepala Desa Cibeureum Suheri.","Suheri mengatakan proses penangkapan monyet sudah dilakukan sejak Sabtu (18/1/2020) hingga Selasa (22/1/2020) kemarin. Namun, hingga saat ini, diakui Suheri, masih ada beberapa monyet yang mengganggu aktivitas warga setempat.","""Sudah ratusan yang ditangkap. Semoga kedepannya bisa berkurang,"" katanya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumat, 20 Mar 2020 03:47 WIB","         Positif Corona, Bima Arya Jalani Proses Isolasi di RSUD Kota Bogor    ",https://news.detik.com/berita/d-4946414/positif-corona-bima-arya-jalani-proses-isolasi-di-rsud-kota-bogor, , positif terinfeksi virus ," (COVID-19). Kini, ia menjalani proses isolasi.","""Menjalani proses isolasi di RSUD Kota Bogor sejak Kamis malam,"" ujar plt Kadinkes Kota Bogor Sri Nowo Retno dalam keteranganya, Jumat (20/3/2020).","Selain Bima Arya, pejabat Pemkot Bogor lainnya yang juga positif terinfeksi virus Corona juga diisolasi di RSUD Kota Bogor.","""(Isolasi) Minimal 14 hari ke depan,"" kata Sri.","""Walikota mempercayakan sepenuhnya penanganan masa isolasi dirinya di RSUD Kota Bogor karena sudah sangat siap untuk merawat pasien COVID-19,"" ucapnya.","Diketahui, Bima Arya bersama 4 jajarannya, termasuk istri Bima Arya, Yane Ardian baru saja melakukan kunjungan dinas ke Turki dan Azerbaijan selama 8 hari dimulai sejak 8-15 Maret 2020.","Selama di Turki dan Azerbaijan, Bima dan rombongan mengunjungi Mall Pelayanan Publik terbaik di dunia dan menjadi rujukan Indonesia. Bima juga melakukan kerjasama di bidang wisata dan pertanian.","Setelah pulang ke Indonesia, Bima Arya dinyatakan sebagai orang dalam pemantauan (ODP). Usai melalui rangkaian pemeriksaan medis di Rumah Sakit Bogor Senior, Bima Arya dan seorang pejabat Pemkot Bogor dinyatakan positif terinfeksi virus Corona.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumat, 20 Mar 2020 03:32 WIB","         Gempa M 4,8 Terjadi di Lombok Utara    ",https://news.detik.com/berita/d-4946413/gempa-m-48-terjadi-di-lombok-utara?tag_from=wp_hl_judul," magnitudo (M) 4,8 terjadi di ",", Nusa Tenggara Barat. Pusat gempa berada di laut.","Badan Meteorologi, Klimatologi dan Geofisika (BMKG) melalui laman resminya menginformasikan gempa terjadi pada Jumat (20/3) sekitar pukul 01.57 WIB. Gempa berada pada kedalaman 23 kilometer.","""Pusat gempa berada di laut 22 km Barat Laut Lombok Utara,"" tulis BMKG.","BMKG menjelaskan titik koordinat gempa ada di 8,19 derajat Lintang Selatan dan 116,05 derajat Bujur Timur. Gempa dirasakan hingga Mataram dan Karangasem dengan skala Modified Mercalli Intensity (MMI) III. Artinya, getaran dirasakan nyata dalam rumah dan seakan-akan ada truk berlalu.",Belum diketahui ada-tidaknya dampak akibat gempa tersebut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumat, 20 Mar 2020 03:32 WIB","         Gempa M 4,8 Terjadi di Lombok Utara    ",https://news.detik.com/berita/d-4946413/gempa-m-48-terjadi-di-lombok-utara?tag_from=wp_hl_img," magnitudo (M) 4,8 terjadi di ",", Nusa Tenggara Barat. Pusat gempa berada di laut.","Badan Meteorologi, Klimatologi dan Geofisika (BMKG) melalui laman resminya menginformasikan gempa terjadi pada Jumat (20/3) sekitar pukul 01.57 WIB. Gempa berada pada kedalaman 23 kilometer.","""Pusat gempa berada di laut 22 km Barat Laut Lombok Utara,"" tulis BMKG.","BMKG menjelaskan titik koordinat gempa ada di 8,19 derajat Lintang Selatan dan 116,05 derajat Bujur Timur. Gempa dirasakan hingga Mataram dan Karangasem dengan skala Modified Mercalli Intensity (MMI) III. Artinya, getaran dirasakan nyata dalam rumah dan seakan-akan ada truk berlalu.",Belum diketahui ada-tidaknya dampak akibat gempa tersebut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumat, 20 Mar 2020 03:32 WIB","         Gempa M 4,8 Terjadi di Lombok Utara    ",https://news.detik.com/berita/d-4946413/gempa-m-48-terjadi-di-lombok-utara," magnitudo (M) 4,8 terjadi di ",", Nusa Tenggara Barat. Pusat gempa berada di laut.","Badan Meteorologi, Klimatologi dan Geofisika (BMKG) melalui laman resminya menginformasikan gempa terjadi pada Jumat (20/3) sekitar pukul 01.57 WIB. Gempa berada pada kedalaman 23 kilometer.","""Pusat gempa berada di laut 22 km Barat Laut Lombok Utara,"" tulis BMKG.","BMKG menjelaskan titik koordinat gempa ada di 8,19 derajat Lintang Selatan dan 116,05 derajat Bujur Timur. Gempa dirasakan hingga Mataram dan Karangasem dengan skala Modified Mercalli Intensity (MMI) III. Artinya, getaran dirasakan nyata dalam rumah dan seakan-akan ada truk berlalu.",Belum diketahui ada-tidaknya dampak akibat gempa tersebut.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumat, 20 Mar 2020 03:18 WIB","         Selain Bima Arya, Seorang Pejabat Pemkot Bogor Juga Positif Corona    ",https://news.detik.com/berita/d-4946412/selain-bima-arya-seorang-pejabat-pemkot-bogor-juga-positif-corona?tag_from=news_beritaTerkait, positif terinfeksi ,"(COVID-19). Selain Bima Arya, seorang pejabat pemkot lainya juga positif Corona.","""Selain Walikota Bogor, hasil tes juga menyatakan salah satu pejabat pemkot lain juga positif COVID-19,""ujar plt Kadinkes Kota Bogor Sri Nowo Retno dalam keteranganya, Jumat (20/3/2020).",Belum diketahui siapa pejabat Pemkot Bogor tersebut. Belum diketahui pula di mana dan kapan Bima Arya dan pejabat Pemkot itu terpapar virus Corona.,"Namun, Bima Arya bersama 4 jajarannya, termasuk istri Bima Arya, Yane Ardian baru sajaa melakukan kunjungan dinas ke Turki dan Azerbaijan selama 8 hari. Sri memastikan 3 rombongan dinyatakan negatif.","""Tiga anggota rombongan yang lain dinyatakan negatif,"" kata Sri.","Diberitakan sebelumnya, Wali Kota Bogor, Bima Arya Sugiarto positif terinfeksi virus Corona (COVID-19). Bima Arya dinyatakan positif Corona usai menerima hasil tes swab kemarin (19/3) sore.","""Pada hari Kamis sore, kemarin tanggal 19 Maret 2020, Walikota Bogor Bima Arya, telah menerima hasil tes swab yang menunjukkan positif COVID-19,"" ujar Sri.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumat, 20 Mar 2020 03:18 WIB","         Selain Bima Arya, Seorang Pejabat Pemkot Bogor Juga Positif Corona    ",https://news.detik.com/berita/d-4946412/selain-bima-arya-seorang-pejabat-pemkot-bogor-juga-positif-corona, positif terinfeksi ,"(COVID-19). Selain Bima Arya, seorang pejabat pemkot lainya juga positif Corona.","""Selain Walikota Bogor, hasil tes juga menyatakan salah satu pejabat pemkot lain juga positif COVID-19,""ujar plt Kadinkes Kota Bogor Sri Nowo Retno dalam keteranganya, Jumat (20/3/2020).",Belum diketahui siapa pejabat Pemkot Bogor tersebut. Belum diketahui pula di mana dan kapan Bima Arya dan pejabat Pemkot itu terpapar virus Corona.,"Namun, Bima Arya bersama 4 jajarannya, termasuk istri Bima Arya, Yane Ardian baru sajaa melakukan kunjungan dinas ke Turki dan Azerbaijan selama 8 hari. Sri memastikan 3 rombongan dinyatakan negatif.","""Tiga anggota rombongan yang lain dinyatakan negatif,"" kata Sri.","Diberitakan sebelumnya, Wali Kota Bogor, Bima Arya Sugiarto positif terinfeksi virus Corona (COVID-19). Bima Arya dinyatakan positif Corona usai menerima hasil tes swab kemarin (19/3) sore.","""Pada hari Kamis sore, kemarin tanggal 19 Maret 2020, Walikota Bogor Bima Arya, telah menerima hasil tes swab yang menunjukkan positif COVID-19,"" ujar Sri.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumat, 20 Mar 2020 03:01 WIB",         Wali Kota Bogor Bima Arya Positif Corona    ,https://news.detik.com/berita/d-4946411/wali-kota-bogor-bima-arya-positif-corona?tag_from=news_mostpop,", ", positif terinfeksi ,(COVID-19). Bima Arya dinyatakan positif Corona setelah menerima hasil tes swab kemarin (19/3) sore.,"""Pada hari Kamis sore, kemarin tanggal 19 Maret 2020, Wali Kota Bogor Bima Arya, telah menerima hasil tes swab yang menunjukkan positif COVID-19,"" ujar plt Kadinkes Kota Bogor Sri Nowo Retno dalam keteranganya, Jumat (20/3/2020).",Sri mengatakan tes SWAB tersebut dilakukan di Rumah Sakit Bogor Senior.,"""Tes sendiri dilaksanakan pada Selasa 17 Maret 2020 oleh RS Bogor Senior Hospital,"" kata Sri.","Sebelumnya, Bima Arya sempat menyandang status sebagai Orang Dalam Pemantauan (ODP) Corona. Ia berstatus ODP setelah sempat pergi ke Turki dan Azerbaijan selama delapan hari.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Jumat, 20 Mar 2020 03:01 WIB",         Wali Kota Bogor Bima Arya Positif Corona    ,https://news.detik.com/berita/d-4946411/wali-kota-bogor-bima-arya-positif-corona,", ", positif terinfeksi ,(COVID-19). Bima Arya dinyatakan positif Corona setelah menerima hasil tes swab kemarin (19/3) sore.,"""Pada hari Kamis sore, kemarin tanggal 19 Maret 2020, Wali Kota Bogor Bima Arya, telah menerima hasil tes swab yang menunjukkan positif COVID-19,"" ujar plt Kadinkes Kota Bogor Sri Nowo Retno dalam keteranganya, Jumat (20/3/2020).",Sri mengatakan tes SWAB tersebut dilakukan di Rumah Sakit Bogor Senior.,"""Tes sendiri dilaksanakan pada Selasa 17 Maret 2020 oleh RS Bogor Senior Hospital,"" kata Sri.","Sebelumnya, Bima Arya sempat menyandang status sebagai Orang Dalam Pemantauan (ODP) Corona. Ia berstatus ODP setelah sempat pergi ke Turki dan Azerbaijan selama delapan hari.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
