date,title,link,desc/0,desc/1,desc/2,desc/3,desc/4,desc/5,desc/6,desc/7,desc/8,desc/9,desc/10,desc/11,desc/12,desc/13,desc/14,desc/15,desc/16,desc/17,desc/18,desc/19,desc/20,desc/21,desc/22,desc/23,desc/24,desc/25,desc/26,desc/27,desc/28,desc/29,desc/30,desc/31,desc/32,desc/33,desc/34,desc/35,desc/36,desc/37,desc/38,desc/39,desc/40,desc/41,desc/42,desc/43,desc/44,desc/45,desc/46,desc/47,desc/48,desc/49,desc/50,desc/51,desc/52
"Senin, 02 Mar 2020 18:33 WIB","Viral Cara Bikin Masker dari Tisu Basah, Bisa Nih untuk Darurat",https://health.detik.com/berita-detikhealth/d-4922317/viral-cara-bikin-masker-dari-tisu-basah-bisa-nih-untuk-darurat,Banyak orang berlomba membeli masker dan takut kehabisan stok karena munculnya kasus , baru di Indonesia. Padahal penggunaan masker tak disarankan jika kamu sedang dalam kondisi sehat.,Baru-baru ini beredar sebuah video yang menggambarkan cara bagaimana membuat masker dari tisu basah. Video yang diunggah akun @indonesiavoice di ," ini sudah dilihat 14.952 orang, berdasarkan pantauan terakhir detikcom pada (2/3/2020).","Dalam video yang beredar tersebut, terlihat seorang ibu memperagakan cara membuat masker dari tisu basah. Ia hanya menggunakan gunting sebagai alat bantunya.","Pertama, siapkan masker basah kemudian lipat menjadi dua bagian seperti bentuk persegi panjang. Lalu lipat kembali bagian ujungnya untuk membuat lubang yang nantinya bisa dikaitkan pada kedua telinga.","Setelah itu, coba lubangi bagian yang sudah dilipat tepat di posisi tengah. Setelah selesai dilubangi, buka kembali semua bagian ",", dan masker sudah siap digunakan.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rabu, 29 Jan 2020 11:38 WIB",Blak-blakan Kemenkes: Corona Tak Seganas SARS dan MERS,https://health.detik.com/berita-all/d-4877497/blak-blakan-kemenkes-corona-tak-seganas-sars-dan-mers,"Wabah virus Corona baru (2019-nCoV) yang berawal dari Wuhan, China, menyebar cepat. Penyebaran hingga di beberapa benua, mulai Asia, Australia, hingga Eropa. Kekhawatiran pun muncul di tanah air, seiring munculnya laporan 'suspek' corona di beberapa daerah. Seperti apa kondisi sebenarnya? Benarkah kita perlu khawatir?. Simak penjelasan pihak Kementerian Kesehatan berikut ini.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senin, 02 Mar 2020 05:50 WIB","Lagi-lagi Bikin Bingung: Suspek, Dicurigai, atau Dalam Pengawasan?",https://health.detik.com/berita-detikhealth/d-4921162/lagi-lagi-bikin-bingung-suspek-dicurigai-atau-dalam-pengawasan,"Kegaduhan terjadi di media sosial baru-baru ini. Dikabarkan, 136 pasien Indonesia 'dalam pengawasan' terkait ", COVID-19 dengan proporsi terbanyak di DKI Jakarta.,"Bikin kaget? Bisa jadi, karena informasi yang beredar tidak dilengkapi keterangan bahwa 'dalam pengawasan' tidak berarti positif. Tidak ada keterangan bahwa yang dimaksud 'dalam pengawasan' tidak lain adalah suspek atau suspect dalam bahasa awam.","Dalam beberapa kesempatan, istilah 'suspek' sepertinya memang dihindari. Direktur RS Hasan Sadikin (RSHS) Bandung, Nina Susana Dewi, dalam satu kesempatan membantah kabar adanya pasien suspek virus corona tapi mengakui ada pasien yang 'dicurigai' virus corona.","""Jadi hoax kalau dibilang suspect virus corona. Masih kami observasi karena dicurigai gejalanya (virus corona). Kami juga akan mengirimkan sampel dahak (tenggorokan dan hidung) ke "," (Badan Penelitian dan Pengembangan Kesehatan) untuk mengetahui positif atau tidaknya,"" tegasnya.","Belakangan, hasil tes memastikan pasien tersebut negatif virus corona. Kondisi pasien dikabarkan membaik, bahkan sudah dipulangkan.","Staf Humas RSPI Sulianti Saroso juga pernah menyampaikan keberatan terkait penggunaan istilah suspek. Istilah yang dianjurkan dan lebih tepat menurutnya adalah 'dalam pengawasan', walau artinya kurang lebih sama.","Menurut ahli penyakit tropis dan infeksi, Dr dr Erni Juwita Nelwan, SpPD-KPTI, pasien yang masuk isolasi dan menjalani serangkaian perawatan adalah suspek. Statusnya akan ditentukan positif atau negatif setelah pemeriksaan keluar.","""Itu cuma masalah bahasa saja. Jadi kalau dia menyatakan kalau ini dicurigai bukan berarti dia tidak suspek. Suspek itu kan artinya curiga, masalah bahasa yang digunakan saja tapi artinya sama, penanganannya juga sama,"" jelasnya, dalam sebuah wawancara dengan detikcom.","Yang pasti, hingga saat ini "," RI mengklaim belum ada satupun pasien di Indonesia yang terkonfirmasi positif virus corona COVID-19. Seratusan lebih pasien 'dalam pengawasan' adalah akumulasi suspek yang pernah diperiksa, dan sejauh ini hasilnya negatif semua.","Percaya atau tidak, itu soal lain.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 27 Feb 2020 08:40 WIB",Dokter Ini Meninggal Setelah Rawat Lebih dari 3.000 Pasien COVID-19,https://health.detik.com/berita-all/d-4916413/dokter-ini-meninggal-setelah-rawat-lebih-dari-3000-pasien-covid-19,Seorang , di China bernama Dr Liu Wenxiong meninggal setelah merawat lebih dari 3.000 pasien ," COVID-19 dalam satu bulan. Pihak keluarga mengatakan, penyebab meninggalnya karena serangan jantung.",Dikutip dari ,", ",yang dialaminya diketahui akibat stres setelah melihat dan merawat 100 pasien perharinya. Ia meninggal di usia 50 tahun pada 13 Februari lalu.,"Namun, melihat kematian Dr Liu, pemerintah setempat enggan menganggapnya berhubungan dengan pekerjaan. Hal ini mengakibatkan istrinya yang bernama Peng Changxian tidak memenuhi syarat untuk mengklaim asuransi, meskipun suaminya telah mengorbankan nyawanya untuk masyarakat.","Dalam catatan rumah sakit, sebelum kematiannya, Dr Liu hanya mengambil dua hari libur dan satu hari cuti sakit. Setiap harinya secara teratur, ia mengunjungi 100 pasien perhari. Bahkan jumlah yang ditanganinya jauh lebih banyak dibandingkan rekan dokter yang lain.","Berdasarkan penuturan putranya, Liu Hang, Dr Liu memang telah didiagnosis menderita penyakit jantung sejak 2017. Ia juga sering kambuh dengan rasa nyeri di dadanya.","""Dr Liu Wenxiong adalah seorang dokter yang baik. Dia memiliki standar etika, keterampilan medis yang sangat tinggi, serta menangani sebagian besar pasien wabah ini,"" jelas Direktur Rumah Sakit Kota Sanfutan, Zhou Huailin.","Ia dinyatakan meninggal pada pukul 6.14 pagi waktu setempat. Untuk mendapatkan haknya, pihak keluarga akan mengajukan banding pada pemerintah.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rabu, 26 Feb 2020 11:35 WIB","WN Jepang Positif Corona Sepulang dari Bali, Dinkes Lacak Riwayat Kontak",https://health.detik.com/berita-detikhealth/d-4914911/wn-jepang-positif-corona-sepulang-dari-bali-dinkes-lacak-riwayat-kontak, terkonfirmasi positif virus corona baru , sepulang dari Bali. Dinas Kesehatan Provinsi Bali sudah menemukan lokasi di mana pria berusia 60 tahun tersebut menginap.,"""Iya sudah kami temukan. Menginapnya di salah satu hotel di Kuta,"" ujar Kepala Dinkes Bali, Ketut Suarjaya, saat dihubungi ",", Kamis (26/2/2020).",Kadinkes mengatakan saat ini beragam upaya tengah dilakukan untuk mencegah kemungkinan penyebaran virus dari WN Jepang tersebut. Salah satunya dengan melakukan disinfektan di tempat tersebut.,"""Tempatnya sudah didisinfeksi, sudah ditracing, yang pernah kontak dengan WN tersebut, sejauh ini masih aman, tidak ada yang sakit,"" tegasnya","Meski begitu, ia menjelaskan monitoring akan terus dilakukan. Ia pun mengimbau penduduk setempat jika ada yang mengalami gejala demam segera melapor ke dokter.","""Kalau ada yang demam kita imbau untuk segera ke dokter, tetep kita monitor sampai tanggal 4 Maret,"" lanjutnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rabu, 26 Feb 2020 11:10 WIB","Sudah 39 Negara Terjangkit, Mungkinkah Virus Corona COVID-19 Jadi Pandemi?",https://health.detik.com/berita-detikhealth/d-4914868/sudah-39-negara-terjangkit-mungkinkah-virus-corona-covid-19-jadi-pandemi,"Baru-baru ini, "," baru telah terdeteksi di Italia dan Iran. Sementara itu, kasus COVID-19 di Korea Selatan juga melonjak.",Saat ini sudah ada 39 negara yang melaporkan kasus virus corona COVID-19. Mungkinkah hal ini bisa disebut mendekati kategori pandemi?,"Pandemi adalah penyakit yang menyebar di banyak negara di seluruh dunia secara bersamaan. ""Saya pikir banyak orang akan menganggap situasi saat ini sebagai pandemi, kami memiliki transmisi yang sedang berlangsung di berbagai wilayah di dunia,"" Prof Jimmy Whitworth, dari London School of Hygiene dan Tropical Medicine.","Mengutip BBC, beberapa ilmuwan bahkan berargumen bahwa ini telah memasuki tahap paling awal dari ",". Perkembangan kasus corona di Korea Selatan, Italia, dan Iran juga menjadi alasan mengapa orang menilai wabah virus corona sebagai pandemi.","Prof Devi Sridhar, dari University of Edinburgh, menjelaskan perspektifnya terkait corona yang berpotensi dikategorikan 'pandemi'. ""Ini sebagian besar merupakan keadaan darurat Tiongkok, sekarang kami melihatnya sedang mengembangkannya, Korea Selatan, Jepang, Iran, dan sekarang ",","" katanya.","""Itu adalah virus yang sangat menular dan menyebar dengan sangat cepat,"" tambahnya.","Ia juga menjelaskan kematian karena virus corona ini hanya membunuh sebagian kecil orang yang terinfeksi, dan butuh waktu berminggu-minggu untuk melihat atau mendeteksi infeksi yang akhirnya menjadi kematian.","""Ini menunjukkan sejumlah besar orang dengan gejala minimal, atau yang tidak menunjukkan gejala, yang tidak sedang diuji atau bahkan sedang diidentifikasi. Siapa yang tahu sudah berapa lama ia terinfeksi?"" ungkapnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 30 Jan 2020 16:09 WIB","RI Bebas Virus Corona, Pejabat Kemenkes: Karena Doa dan Pola Hidup Sehat",https://health.detik.com/berita-all/d-4879401/ri-bebas-virus-corona-pejabat-kemenkes-karena-doa-dan-pola-hidup-sehat,Wabah ," tercatat sudah menyebar ke-17 negara dengan 7.800 kasus ditemukan. Sebagian besar kasus tersebut ditemukan di wilayah China. Virus ini juga sudah sampai di negara tetangga Indonesiaa, yakni Singapura dan Malaysia. Terbaru, kasus pasien terkena virus corona juga ditemukan di Filipina.","hingga kini belum ditemukan. Belum ada pasien yang dinyatakan positif terkena. Direktur Jenderal Pelayanan Kesehatan Kemenkes RI, dr Bambang Wibowo, SpOG(K), MARS, mengatakan terbebasnya Indonesia dari virus corona sebab pola hidup sehat masyarakatnya. Juga yang tak kalah penting adalah doa.","""Makanya kita doa itu penting, menjaga perilaku hidup sehat, kemudian doa lagi. Kalau ada apa-apa segera periksa, dan jangan percaya sama informasi yang tidak benar,"" ucap dr Bambang di Jakarta pada Rabu (29/1/2020) kemarin.","Terkait doa ini, di dalam Islam ada tuntunannya. Membaca doa supaya terhindar dari penyakit, bisa diamalkan saat mewabah ",". Di dalam Syarah Riyadhus Shalihin Jilid 4, hadist nomor 1484, diriwayatkan dari Anas RA, Rasulullah Shallallahu'alaihi Wassalam pernah membaca ",.,"""Wa an annas radhiyallahu anhu an nabiya shallahu allahi wasallam kana yaqulu, Allahumma innii a'uudzu Bika Minal Baroshi wal Junuuni wal Judzaami wa min Sayyi-il Asqoom"".","Artinya: Dari Anas radhiyallahu anhu bahwasanya Nabi Muhammad shallahu allahi wasallam mengucapkan doa: Ya Allah, sungguh aku berlindung kepada-Mu dari penyakit belang (kulit), gila, lepra, dan dari keburukan segala macam penyakit.","Selain itu, umat Islam juga disarankan untuk membaca:",اَللَّهُمَّ,عَافِنِى,فِى,بَدَنِى,اللَّهُمَّ,عَافِنِى,فِى,سَمْعِى,اللَّهُمَّ,عَافِنِى,فِى,بَصَرِ,Artinya :,"""Ya Allah, sehatkanlah badan ku. Ya Allah sehatkanlah pendengaranku. Ya Allah sehatkanlah penglihatanku. Tidak ada Tuhan selain Engkau"".",Bacalah doa tersebut sebanyak tiga kali setiap pagi hari dan sore hari.,Dan berikut ini agar sehat dan diberikan umur panjang:,اللَّهُمَّ,أكْثِرْ,مَالِي،,وَوَلَدِي،,وَبَارِكْ,لِي,فِيمَا,أعْطَيْتَنِي,وَأطِلْ,حَيَاتِي,عَلَى,طَاعَتِكَ،,وَأحْسِنْ,عَمَلِي,وَاغْفِرْ,لِي,Artinya :,"""Ya Allah, perbanyaklah harta dan anaku, dan berkahilah karunia yang telah Engkau berikan kepadaku. Panjangkanlah umurku dalam ketaatan kepada-Mu dan baguskalah amalanku dan ampunilah dosa-dosaku"".",Selain membaca ,", tentunya menjaga pola hidup sehat penting agar terhindar dari segala penyakit termasuk ",,,,,,,
"Rabu, 22 Jan 2020 19:20 WIB","Soal Kabar Turis Terinfeksi, Kemenkes Pastikan Virus Corona Belum Masuk RI",https://health.detik.com/berita-detikhealth/d-4869504/soal-kabar-turis-terinfeksi-kemenkes-pastikan-virus-corona-belum-masuk-ri,Turis asal China yang berkunjung ke Bintan dikabarkan terinfeksi , mirip pneumonia yang berasal dari Wuhan. Diduga turis tersebut mengalami gejala yang menunjukkan infeksi virus corona.,Namun hingga saat ini dipastikan belum ada virus corona yang masuk ke Indonesia.,"""Belum, sampai hari ini Indonesia belum ada infeksi corona virus. Kalau WNI yang di China juga belum ada laporan dari KBRI mengenai masyarakat yang terkena,"" tegas Direktur Pencegahan dan Pengendalian Penyakit Menular Langsung "," RI, dr Wiendra Waworuntu, MKes, saat dijumpai pada Rabu, (22/1/2020).","Meski demikian, Kemenkes telah meningkatkan kesiagaan baik di pintu masuk negara dan rumah sakit di seluruh daerah mengingat ada penerbangan langsung dari China ke Indonesia. Kemenkes sudah menetapkan 100 rumah sakit rujukan untuk infeksi emerging yang berkaitan dengan virus corona.","""Saat ini kami ikuti arahan dari WHO karena belum ada guidelinenya. Jadi sekarang masih melakukan screening dan health alert card,"" pungkasnya.","Sejak awal Januari 2020, Kementerian Kesehatan telah meningkatkan kewaspadaan terhadap ", dari virus corona dengan memasang thermal scanner di 135 pintu masuk negara. Pengunjung yang menunjukkan gejala seperti demam dan sesak napas serta diketahui memiliki riwayat perjalanan dari China akan langsung ditangani secara komprehensif.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 23 Jan 2020 12:37 WIB","Dari Ular hingga Unta, 4 Hewan Ini Disebut Bisa Sebarkan Virus Corona",https://health.detik.com/berita-detikhealth/d-4870179/dari-ular-hingga-unta-4-hewan-ini-disebut-bisa-sebarkan-virus-corona, jenis baru yang tengah mewabah di China dikonfirmasi telah menginfeksi ratusan orang menyebabkan 17 korban jiwa. Organisasi Kesehatan Dunia (,) mengimbau agar negara-negara waspada karena banyak yang belum diketahui soal virus ini.,Virus corona sendiri adalah sebutan untuk keluarga virus yang biasanya menyebabkan masalah pernapasan. Beberapa penyakit mulai dari pilek biasa hingga severe acute respiratory syndrome (SARS) dan Middle East respiratory syndrome (MERS) yang mematikan disebabkan oleh keluarga virus corona.,Infeksi virus corona termasuk penyakit , karena bisa menyebar dari hewan ke manusia. Beberapa hewan ini disebut peneliti bisa menyebarkan virus:,Ular disebut-sebut peneliti jadi hewan yang mungkin bertanggung jawab menularkan virus corona jenis baru di China. Peneliti mengetahuinya dengan memeriksa protein pada virus yang mengenali sel inang. Ini merupakan petunjuk penting karena dapat menjelaskan bagaimana virus dapat berpindah dari ular ke manusia.,Ular kobra dan krait adalah dua jenis ular berbisa yang banyak dijual di pasar hewan kota Wuhan. Kedua jenis ular ini kadang dijual untuk dikonsumsi.,Kelelawar buah jadi hewan yang dianggap sumber utama inang virus corona yang menyebabkan penyakit SARS. Kemampuan migrasi kelelawar membuatnya sebagai inang potensial bagi virus sehingga dapat menyebar luas ke berbagai daerah.,Unta jadi hewan yang disebut sebagai sumber virus corona penyebab MERS. Oleh karena itu Kementerian Kesehatan RI sering mengimbau para jemaah haji agar berhati-hati menjaga jarak aman saat berinteraksi dengan unta.,Musang jadi hewan yang diprediksi peneliti turut berkontribusi terhadap penyebaran virus corona penyebab SARS. Musang disebut bisa jadi inang perantara bagi virus corona dari kelelawar sebelum menyerang manusia.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kamis, 23 Jan 2020 05:30 WIB","Ancaman Virus Corona dari China Meluas, Belum Ada WNI Terinfeksi",https://health.detik.com/berita-detikhealth/d-4869718/ancaman-virus-corona-dari-china-meluas-belum-ada-wni-terinfeksi,Virus ," jenis baru yang menggemparkan Wuhan, China, makin menyebar. Berbagai negara meningkatkan kewaspadaan, tak terkecuali Indonesia.","Di Jakarta, sedikitnya ada 30 penerbangan langsung dari dataran China dengan estimasi 5.000 penumpang per hari. Di Bali bahkan ada penerbangan langsung dari Wuhan ke Denpasar.","""Kemenkes sudah menetapkan 100 rumah sakit rujukan untuk infeksi emerging. Diharapkan 100 RS ini sudah harus memiliki sarana dan prasarana sesuai standar untuk menangani kasus emerging karena pernah menangani kasus flu burung,"" tutur Direktur Survailans dan Karantina Kesehatan ",", drg Vensya Sitohang, MEpid, saat dijumpai di Kantor Kemenkes RI, Jl HR Rasuna Said, Jakarta Selatan, Rabu (22/1/2020).","Direktur Pencegahan dan Pengendalian Penyakit Menular Langsung Kementerian Kesehatan RI, dr Wiendra Waworuntu, MKes, menegaskan hingga saat ini belum ada infeksi virus corona di Indonesia. Dari KBRI di China, juga belum ada laporan WNI yang terinfeksi.","Meski demikian, kesiapsiagaan telah ditingkatkan dengan memasang 135 pintu masuk negara. Pengunjung dengan gejala demam dan sesak napas, dan memiliki riwayat perjalanan dari China, akan langsung ditangani dengan komprehensif.","Sementara itu, Amerika Serikat telah mengkonfirmasi kasus pertama virus corona jenis baru pada pria berusia 30-an tahun. Pria tersebut baru saja kembali dari Wuhan pada 15 Januari 2020.","Di Brisbane, Australia, seorang pria diisolasi di rumahnya untuk menjalani serangkaian tes. Pria ini menunjukkan gejala mirip "," (Severe Accute Respiratory Syndrome) sepulang dari Wuhan, China.",Sejauh ini tercatat 9 orang meninggal di China akibat virus corona 'misterius' dan sedikitnya 400 orang di 13 provinsi telah terinfeksi. Virus ini disebut bisa bermutasi dan beradaptasi dan telah terkonfirmasi bisa menular dari orang ke orang.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Selasa, 08 Okt 2019 05:46 WIB","Ranitidin Ditarik BPOM, Ini Obat Maag Mujarab Ala Rasulullah",https://health.detik.com/berita-all/d-4737462/ranitidin-ditarik-bpom-ini-obat-maag-mujarab-ala-rasulullah,Obat asam lambung ," ditarik BPOM dari peredaran umum, karena telah tercemar N-Nitrosodimethylamine (NDMA) yang dapat berpotensi memicu risiko kanker. Jangan khawatir ada resep pengobatan sakit maag ala Rasulullah.","Banyak orang mengalami sakit maag yang dalam istilah kedokteran disebut gastritis, atau peradangan lambung. Sakit maag pada awalnya terjadi karena asam lambung yang berlebihan.","Faktornya penyebabnya antara lain efek samping zat kimia, obat penahan nyeri, alkohol, dan asam cuka. Serta konsumsi berlebih beberapa makanan dan minuman yang dapat memicu produksi asam lambung, seperti: jahe, merica, bumbu pedas, atau makanan dan minuman yang bersifat asam lainnya.","Selain berobat ke dokter sebagai bentuk ikhtiar untuk sembuh, ada beberapa doa yang dilafadzkan oleh Rasulullah, juga obat alami menyembuhkan semacam penyakit pencernaan tersebut. Berikut ini pengobatan maag ala Rasulullah.",Madu bisa menggantikan ,. ,"Ibnu Qayyim Al-Jauziyah menjelaskan dalam kitabnya 'Ath-Thibbun Nabawi', bahwa suatu ketika ada seorang sahabat datang menghadap Rasul dan mengeluhkan perutnya yang melilit. Rasulullah kemudian menyarankan agar sahabat tersebut mengkonsumsi madu.","Hingga tiga kali, lelaki itu menghadap Rasulullah karena perutnya yang melilit, karena tak sembuh juga meski sudah minum madu. Namun Rasulullah terus memerintahkan, ""Minumkanlah ia madu.""","Pada kali ketiga atau keempat lelaki itu kembali, Rasulullah mengatakan,""Sungguh Maha Benar Allah, dan sungguh perut saudaramu yang berdusta,"" dan setelah berulang kali diminumkan madu, dia sembuh.","Madu yang ternyata mengandung bahan prebiotik alami, dapat meningkatkan populasi bakteri. Sehingga bisa memberikan efek yang baik bagi kesehatan. Madu sering kali digunakan untuk terapi pengobatan, dan pencegahan pada",atau asam lambung. Hal ini karena madu memiliki efek memperlambat pengosongan lambung. R, bisa digantikan madu.,"Rasulullah juga mengajarkan kepada para sahabat doa-doa khusus untuk sakit tertentu. Apabila letak rasa sakit yang diderita umatnya, hanya terasa di bagian tubuh tertentu saja.","Misalnya sakit di perut (maag), kepala, dada (jantung atau paru-paru). Zikir doa dan cara yang beliau ajarkan adalah sebagai berikut:",ضَعْ,يَدَكَ,عَلَى,الَّذِى,تَأَلَّمَ,مِنْ,جَسَدِكَ,وَقُلْ,بِاسْمِ,اللَّهِ,ثَلاَثًا,وَقُلْ,سَبْعَ,مَرَّاتٍ,أَعُوذُ,بِاللَّهِ,وَقُدْرَتِهِ,مِنْ,شَرِّ,مَا,أَجِدُ,وَأُحَاذِرُ,"""Letakkan tanganmu pada tempat yang sakit dan bacalah Bismillah tiga kali, lalu bacalah ""A'uudzu billahi wa qudrotihi min syarri maa ajidu wa uhaadziru""","Artinya: ""Aku berlindung kepada Allah dan kekuasaan-Nya dari keburukan yang sedang aku rasakan dan yang aku khawatirkan"" (HR. Muslim).",Tak perlu khawatir ," ditarik BPOM. Sebab doa berikut ini bisa diamalkan ketika anggota tubuh ada yang sakit, misalnya, sakit gigi, keseleo, maag, dan sebagainya. Bacaan ruqyah sederhana ini, juga bisa diamalkan oleh penderita sakit itu sendiri. Berikut bacaannya adalah:",أَعُوذُ,بِاللَّهِ,وَقُدْرَتِهِ,مِنْ,شَرِّ,مَا,أَجِدُ,وَأُحَاذِرُ,"Artinya: ""Dengan menyebut nama Allah, dengan menyebut nama Allah, aku berlindung kepada Allah dan kuasa-Nya dari kejelekan yang aku dapatkan dan aku waspadai."" (HR. Muslim no. 2202)","Betapa berharganya nikmat sehat yang Allah berikan kepada kita, mestinya dijaga dengan baik. Menjaga nikmat sehat tersebut antara lain dilakukan dengan pola makan yang baik, tidak berlebihan, tidak menuruti nafsu, dan mengingat kematian.","Seperti dalam hadis diriwayatkan oleh Imam At-Tirmidzi, yang artinya: Rasulullah SAW bersabda ""Malulah kepada Allah dengan sebenar-benarnya rasa malu."" Kemudian para sahabat bertanya, ""Apakah sebenar-benarnya rasa malu itu?"" Beliau menjawab,""Menjaga kepala beserta isinya dan menjaga perut beserta isinya, serta mengingat kuburan dan kematian."" (HR. Bukhari Muslim)"," meski ditarik dari pasaran, ada resep sehat ala Rasulullah yang bisa diamalkan agar tak terkena sakit maag."
"Kamis, 30 Jan 2020 15:47 WIB","Wabah Virus Corona Diprediksi Akan Mereda, Kemenkes Tetap Akan Waspada",https://health.detik.com/berita-detikhealth/d-4879373/wabah-virus-corona-diprediksi-akan-mereda-kemenkes-tetap-akan-waspada,"Belum lama ini, salah satu ilmuwan China mengatakan wabah "," 2019-nCoV segera mereda, dalam waktu seminggu atau sekitar 10 hari. Ia yakin wabah ini tidak akan meningkat dalam skala yang besar.","Menanggapi hal ini, Direktorat Jenderal P2P Kementerian Kesehatan (Kemenkes) dr. Anung Sugihantono mengharapkan hal yang sama, meski hingga saat ini yang meninggal mencapai 123 orang.","""Oh kalau ngomong pandangan mereda dalam waktu dekat saya setuju gitu ya, tetapi secara epidomologis kita melihat bahwa eskalasinya masih belum berhenti terutama yang ada di China,"" jelasnya saat ditemui di Lt 1 Germas "," RI, Rasuna Said, Jakarta Selatan, Kamis (30/1/2020).",Ia menegaskan kabar tersebut tal lantas membuat kewaspadan terkait 2019-, menurun.,"""Jadi ya kita nggak boleh mengendorkan kewaspadaan ya di dalam kerangka unyuk pelayanan terhadap apapun yang terjadi dengan novel coronavirus ini,"" katanya","Meski begitu, ia berharap kabar tersebut benar adanya.","""Saya harap begitu,"" tambahnya.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Senin, 02 Mar 2020 20:20 WIB",Satu Pasien Diisolasi di RSUP Dr Sardjito Yogyakarta Sepulang Umroh,https://health.detik.com/berita-detikhealth/d-4922527/satu-pasien-diisolasi-di-rsup-dr-sardjito-yogyakarta-sepulang-umroh?tag_from=news_beritaTerkait,Sebuah video sempat beredar melalui pesan whatsapp. Video berdurasi 30 detik itu memperlihatkan tiga petugas , yang tengah menangani seorang pasien.,"Para petugas itu saat menangani pasien, menggunakan Alat Pelindung Diri (APD) layaknya untuk penanganan pasien yang suspect coronavirus (Covid-19). Lokasi pengambilan video itu bertempat di salah satu bangunan rumah sakit di Yogyakarta. Dari informasi yang beredar, pasien itu kemudian dirujuk ke RSUP Dr Sardjito.","Terkait beredarnya video tersebut, Kepala Subag Hukum dan Humas ",", Banu Hermawan membenarkan telah menerima rujukan pasien dari RSUD Kota Yogyakarta.","""Terkait dengan beredarnya video rujukan pasien, dapat kami sampaikan bahwa memang RSUP Dr Sardjito menerima pasien rujukan dari RSUD Kota Yogyakarta,"" kata Banu kepada wartawan, Senin (2/3/2020).","Pasien rujukan itu perempuan berinisial R (73). Dari informasi yang dia terima, pasien itu memiliki riwayat perjalanan umroh.","""Atas nama R usia 73 th jenis kelamin wanita. Kami peroleh informasi pasien habis kunjungan "," dan mengalami batuk batuk sehingga karena kondisi tersebut akhirnya dirujuk ke RSUP Dr Sardjito,"" jelasnya.",		,"

        ","
        ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
