title,descs
"Mensos Sebut Ada Tsunami Bansos, Apa Itu?",Menteri Sosial Juliari Batubara menyebut saat ini sedang terjadi tsunami bantuan sosial (bansos) di Tanah Air. Apa itu?
Bupati Sidoarjo Saiful Ilah Segera Diadili Terkait Kasus Suap Proyek,KPK telah merampungkan berkas penyidikan Saiful Illah dan tiga tersangka lain pada kasus suap proyek di Kabupaten Sidoarjo.
Aksi Tanggap Kapolri Lewat Perintah Siapkan Beras untuk Warga Luput Pendataan Dinilai Tepat,Polri sudah one step a head di dalam mengantisipasi kemungkinan adanya warga yang terdampak secara sosial akibat pandemik Covid-19.
Ganjar Berikan Perhatian kepada Mahasiswa Perantauan,"Ganjar mengecek kondisi para mahasiswa yang tidak mudik, juga memberikan bantuan berupa sembako dan buah agar para mahasiswa tak kesulitan mendapatkan makanan."
"Kembali Hirup Udara Bebas, Romahurmuziy: Ini Berkah Ramadan","Menurut Romi, sejumlah keputusan hukum yang berhasil diputus belum sepenuhnya berpihak kepadanya."
"Lewat Jumat Berkah, Wali Kota Semarang Keliling Bantu Warga Hadapi Covid-19",Dalam program Jumat Berkah Pemkot Semarang membagikan bantuan berupa hidangan untuk berbuka puasa atau yang populer disebut dengan takjil.
RUU Cipta Kerja Diyakini Beri Harapan Pemulihan Ekonomi Pasca Krisis Covid-19,Ketua Dewan Tafkir PP Persatuan Islam (Persis) Muslim Mufti mengapresiasi semangat memangkas perizinan bagi usaha kecil dan menengah dalam RUU Cipta Kerja.
"Kisah Tragis Seorang Istri Siri di Bogor, Kabur dari Penganiayaan Usai Jebol Tembok","Nasib tragis dialami SM (17), remaja wanita yang berhasil kabur dari penganiayaan yang diduga dilakukan suami sirinya AA (37)."
"Bansos dari Pemkot Semarang Diproses, Warga Diminta Lebih Tertib dan Kompak",Hendi menargetkan distribusi bantuan yang disiapkan pada Mei 2020 bisa lebih merata dan jumlahnya dua kali lipat.
"Evaluasi Bansos, Menko PMK Minta Verifikasi Data Libatkan Pendamping","Rapat membahas bantuan sosial (bansos), termasuk evaluasi pascapenyaluran bansos tahap 1 di wilayah DKI Jakarta."
